"id","date","trial_time","value","x","y","word_one","word_two","trial_number","chunk_number","prolific_id","study_id","session_id"
"10031","2025-04-30T18:48:53.530Z","3904","62","52","75","Not Like Fire","Like Fire","75","51","67ec29f16c1b0fa378f158a7","6810e3157d4c55bd8e56b312","68126de0af531315c9d20c2b"
"10032","2025-04-30T18:48:53.313Z","4092","55","43","13","Not Like Fire","Like Fire","27","76","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10033","2025-04-30T18:48:53.955Z","7571","4","298","165","Not Like Fire","Like Fire","57","23","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10034","2025-04-30T18:48:54.619Z","4804","14","259","74","Not Like Fire","Like Fire","89","48","67f11ef199fadf3fa7bb5d78","6810e3157d4c55bd8e56b312","68126e6d13419694b42eac58"
"10035","2025-04-30T18:48:55.530Z","4104","79","75","28","Not Like Fire","Like Fire","54","80","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10036","2025-04-30T18:48:54.881Z","11122","6","135","18","Not Like Fire","Like Fire","3","34","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10037","2025-04-30T18:48:40.236Z","16724","38","136","80","Not Like Fire","Like Fire","4","85","5f5bd4eee8768816413c0cb5","6810e3157d4c55bd8e56b312","68126f7d2719a08060d6faa1"
"10038","2025-04-30T18:48:58.029Z","4716","41","43","13","Not Like Fire","Like Fire","28","85","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10039","2025-04-30T18:48:58.734Z","4115","0","259","74","Not Like Fire","Like Fire","90","27","67f11ef199fadf3fa7bb5d78","6810e3157d4c55bd8e56b312","68126e6d13419694b42eac58"
"10040","2025-04-30T18:48:56.691Z","23671","19","40","208","Not Like Fire","Like Fire","7","15","67e70536203c9f5fe50b336d","6810e3157d4c55bd8e56b312","68126f9830b574940d8327b2"
"10041","2025-04-30T18:48:59.523Z","3993","50","75","28","Not Like Fire","Like Fire","55","73","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10042","2025-04-30T18:49:00.009Z","6054","25","298","165","Not Like Fire","Like Fire","58","31","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10043","2025-04-30T18:48:59.969Z","6439","10","52","75","Not Like Fire","Like Fire","76","10","67ec29f16c1b0fa378f158a7","6810e3157d4c55bd8e56b312","68126de0af531315c9d20c2b"
"10044","2025-04-30T18:49:04.249Z","4280","67","52","75","Not Like Fire","Like Fire","77","71","67ec29f16c1b0fa378f158a7","6810e3157d4c55bd8e56b312","68126de0af531315c9d20c2b"
"10045","2025-04-30T18:49:05.080Z","7051","51","43","13","Not Like Fire","Like Fire","29","48","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10046","2025-04-30T18:49:05.186Z","5663","49","75","28","Not Like Fire","Like Fire","56","34","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10047","2025-04-30T18:49:07.495Z","16047","41","121","70","Not Like Fire","Like Fire","13","79","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
